logical_id,family,variant,level,run,quantity,classification,print_orientation_note,zero_structural_credit,zero_credit_scope,provisional_status,position_local_mm,interface_ref,level_independent
lower::long_wall_5ft::cassette_lock::support_02_right_slot,cassette_lock,through_interior_right_slot,lower,long_wall_5ft,1,retention,largest flat lock face on the build plate,True,cassette-to-integral-cap retention only; no independent load rating,PROVISIONAL_EXPERIMENTAL_UNRATED,273.3675,lower::long_wall_5ft::structural_pier_x_corbel::02,True
lower::long_wall_5ft::cassette_lock::support_03_left_slot,cassette_lock,through_interior_left_slot,lower,long_wall_5ft,1,retention,largest flat lock face on the build plate,True,cassette-to-integral-cap retention only; no independent load rating,PROVISIONAL_EXPERIMENTAL_UNRATED,515.3025,lower::long_wall_5ft::structural_pier_x_corbel::03,True
lower::long_wall_5ft::cassette_lock::support_03_right_slot,cassette_lock,through_interior_right_slot,lower,long_wall_5ft,1,retention,largest flat lock face on the build plate,True,cassette-to-integral-cap retention only; no independent load rating,PROVISIONAL_EXPERIMENTAL_UNRATED,515.3025,lower::long_wall_5ft::structural_pier_x_corbel::03,True
lower::long_wall_5ft::cassette_lock::support_04_left_slot,cassette_lock,through_interior_left_slot,lower,long_wall_5ft,1,retention,largest flat lock face on the build plate,True,cassette-to-integral-cap retention only; no independent load rating,PROVISIONAL_EXPERIMENTAL_UNRATED,757.2375,lower::long_wall_5ft::structural_pier_x_corbel::04,True
lower::long_wall_5ft::cassette_lock::support_04_right_slot,cassette_lock,through_interior_right_slot,lower,long_wall_5ft,1,retention,largest flat lock face on the build plate,True,cassette-to-integral-cap retention only; no independent load rating,PROVISIONAL_EXPERIMENTAL_UNRATED,757.2375,lower::long_wall_5ft::structural_pier_x_corbel::04,True
lower::long_wall_5ft::cassette_lock::support_05_left_slot,cassette_lock,through_interior_left_slot,lower,long_wall_5ft,1,retention,largest flat lock face on the build plate,True,cassette-to-integral-cap retention only; no independent load rating,PROVISIONAL_EXPERIMENTAL_UNRATED,999.1725,lower::long_wall_5ft::structural_pier_x_corbel::05,True
lower::long_wall_5ft::cassette_lock::support_05_right_slot,cassette_lock,through_interior_right_slot,lower,long_wall_5ft,1,retention,largest flat lock face on the build plate,True,cassette-to-integral-cap retention only; no independent load rating,PROVISIONAL_EXPERIMENTAL_UNRATED,999.1725,lower::long_wall_5ft::structural_pier_x_corbel::05,True
lower::long_wall_5ft::cassette_lock::support_06_left_slot,cassette_lock,through_interior_left_slot,lower,long_wall_5ft,1,retention,largest flat lock face on the build plate,True,cassette-to-integral-cap retention only; no independent load rating,PROVISIONAL_EXPERIMENTAL_UNRATED,1241.1075,lower::long_wall_5ft::structural_pier_x_corbel::06,True
lower::long_wall_5ft::cassette_lock::support_06_right_slot,cassette_lock,through_interior_right_slot,lower,long_wall_5ft,1,retention,largest flat lock face on the build plate,True,cassette-to-integral-cap retention only; no independent load rating,PROVISIONAL_EXPERIMENTAL_UNRATED,1241.1075,lower::long_wall_5ft::structural_pier_x_corbel::06,True
lower::long_wall_5ft::cassette_lock::support_07_left_slot,cassette_lock,through_end_left_slot,lower,long_wall_5ft,1,retention,largest flat lock face on the build plate,True,cassette-to-integral-cap retention only; no independent load rating,PROVISIONAL_EXPERIMENTAL_UNRATED,1483.0425,lower::long_wall_5ft::structural_pier_x_corbel::07,True
lower::long_wall_5ft::cassette_lock::support_07_right_slot,cassette_lock,through_end_right_slot,lower,long_wall_5ft,1,retention,largest flat lock face on the build plate,True,cassette-to-integral-cap retention only; no independent load rating,PROVISIONAL_EXPERIMENTAL_UNRATED,1483.0425,lower::long_wall_5ft::structural_pier_x_corbel::07,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_01_wedge_1,cassette_top_retention_wedge,through_left_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,31.4325,lower::long_wall_5ft::arcade_half::01,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_01_wedge_2,cassette_top_retention_wedge,through_left_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,31.4325,lower::long_wall_5ft::arcade_half::01,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_02_wedge_1,cassette_top_retention_wedge,through_right_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,273.3675,lower::long_wall_5ft::arcade_half::02,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_02_wedge_2,cassette_top_retention_wedge,through_right_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,273.3675,lower::long_wall_5ft::arcade_half::02,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_03_wedge_1,cassette_top_retention_wedge,through_left_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,273.3675,lower::long_wall_5ft::arcade_half::03,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_03_wedge_2,cassette_top_retention_wedge,through_left_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,273.3675,lower::long_wall_5ft::arcade_half::03,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_04_wedge_1,cassette_top_retention_wedge,through_right_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,515.3025,lower::long_wall_5ft::arcade_half::04,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_04_wedge_2,cassette_top_retention_wedge,through_right_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,515.3025,lower::long_wall_5ft::arcade_half::04,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_05_wedge_1,cassette_top_retention_wedge,through_left_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,515.3025,lower::long_wall_5ft::arcade_half::05,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_05_wedge_2,cassette_top_retention_wedge,through_left_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,515.3025,lower::long_wall_5ft::arcade_half::05,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_06_wedge_1,cassette_top_retention_wedge,through_right_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,757.2375,lower::long_wall_5ft::arcade_half::06,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_06_wedge_2,cassette_top_retention_wedge,through_right_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,757.2375,lower::long_wall_5ft::arcade_half::06,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_07_wedge_1,cassette_top_retention_wedge,through_left_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,757.2375,lower::long_wall_5ft::arcade_half::07,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_07_wedge_2,cassette_top_retention_wedge,through_left_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,757.2375,lower::long_wall_5ft::arcade_half::07,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_08_wedge_1,cassette_top_retention_wedge,through_right_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,999.1725,lower::long_wall_5ft::arcade_half::08,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_08_wedge_2,cassette_top_retention_wedge,through_right_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,999.1725,lower::long_wall_5ft::arcade_half::08,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_09_wedge_1,cassette_top_retention_wedge,through_left_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,999.1725,lower::long_wall_5ft::arcade_half::09,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_09_wedge_2,cassette_top_retention_wedge,through_left_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,999.1725,lower::long_wall_5ft::arcade_half::09,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_10_wedge_1,cassette_top_retention_wedge,through_right_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,1241.1075,lower::long_wall_5ft::arcade_half::10,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_10_wedge_2,cassette_top_retention_wedge,through_right_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,1241.1075,lower::long_wall_5ft::arcade_half::10,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_11_wedge_1,cassette_top_retention_wedge,through_left_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,1241.1075,lower::long_wall_5ft::arcade_half::11,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_11_wedge_2,cassette_top_retention_wedge,through_left_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,1241.1075,lower::long_wall_5ft::arcade_half::11,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_12_wedge_1,cassette_top_retention_wedge,through_right_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,1483.0425,lower::long_wall_5ft::arcade_half::12,True
lower::long_wall_5ft::cassette_top_retention_wedge::half_12_wedge_2,cassette_top_retention_wedge,through_right_half,lower,long_wall_5ft,1,retention,locked crossbar and handle broad faces on the build plate; historical orientation key retained for schema compatibility,True,withdrawal retention/preload only; zero vertical shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,1483.0425,lower::long_wall_5ft::arcade_half::12,True
lower::long_wall_5ft::corner_fixed_rosette::fixed_rosette,corner_fixed_rosette,through_fixed_nine_petal_rosette,lower,long_wall_5ft,1,ornament,decorated d=0 face on the build plate with receiver housings upward; this is not a flat-back print and requires its actual-parent orientation coupon,True,visual corner datum only; zero structural credit,PROVISIONAL_EXPERIMENTAL_UNRATED,0.0,,True
lower::long_wall_5ft::crown_bridge::01,crown_bridge,through,lower,long_wall_5ft,1,structural,broad crown-bridge ladder face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,152.4,,True
lower::long_wall_5ft::crown_bridge::02,crown_bridge,through,lower,long_wall_5ft,1,structural,broad crown-bridge ladder face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,394.335,,True
lower::long_wall_5ft::crown_bridge::03,crown_bridge,through,lower,long_wall_5ft,1,structural,broad crown-bridge ladder face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,636.27,,True
lower::long_wall_5ft::crown_bridge::04,crown_bridge,through,lower,long_wall_5ft,1,structural,broad crown-bridge ladder face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,878.205,,True
lower::long_wall_5ft::crown_bridge::05,crown_bridge,through,lower,long_wall_5ft,1,structural,broad crown-bridge ladder face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,1120.14,,True
lower::long_wall_5ft::crown_bridge::06,crown_bridge,through,lower,long_wall_5ft,1,structural,broad crown-bridge ladder face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,1362.075,,True
lower::long_wall_5ft::crown_bridge_retention_pin::01,crown_bridge_retention_pin,through_fixed_right_half,lower,long_wall_5ft,1,retention,"shaft axis parallel to the build plate; split plane perpendicular to the plate; round head and circular cross-section vertical/tangent to the plate; no support-free or production claim; qualify slicer mapping, brim, cooling, flexure, and actual-parent insertion/removal",True,anti-drop/reverse-slide retention only; zero shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,152.4,lower::long_wall_5ft::crown_bridge::01,True
lower::long_wall_5ft::crown_bridge_retention_pin::02,crown_bridge_retention_pin,through_fixed_right_half,lower,long_wall_5ft,1,retention,"shaft axis parallel to the build plate; split plane perpendicular to the plate; round head and circular cross-section vertical/tangent to the plate; no support-free or production claim; qualify slicer mapping, brim, cooling, flexure, and actual-parent insertion/removal",True,anti-drop/reverse-slide retention only; zero shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,394.335,lower::long_wall_5ft::crown_bridge::02,True
lower::long_wall_5ft::crown_bridge_retention_pin::03,crown_bridge_retention_pin,through_fixed_right_half,lower,long_wall_5ft,1,retention,"shaft axis parallel to the build plate; split plane perpendicular to the plate; round head and circular cross-section vertical/tangent to the plate; no support-free or production claim; qualify slicer mapping, brim, cooling, flexure, and actual-parent insertion/removal",True,anti-drop/reverse-slide retention only; zero shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,636.27,lower::long_wall_5ft::crown_bridge::03,True
lower::long_wall_5ft::crown_bridge_retention_pin::04,crown_bridge_retention_pin,through_fixed_right_half,lower,long_wall_5ft,1,retention,"shaft axis parallel to the build plate; split plane perpendicular to the plate; round head and circular cross-section vertical/tangent to the plate; no support-free or production claim; qualify slicer mapping, brim, cooling, flexure, and actual-parent insertion/removal",True,anti-drop/reverse-slide retention only; zero shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,878.205,lower::long_wall_5ft::crown_bridge::04,True
lower::long_wall_5ft::crown_bridge_retention_pin::05,crown_bridge_retention_pin,through_fixed_right_half,lower,long_wall_5ft,1,retention,"shaft axis parallel to the build plate; split plane perpendicular to the plate; round head and circular cross-section vertical/tangent to the plate; no support-free or production claim; qualify slicer mapping, brim, cooling, flexure, and actual-parent insertion/removal",True,anti-drop/reverse-slide retention only; zero shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,1120.14,lower::long_wall_5ft::crown_bridge::05,True
lower::long_wall_5ft::crown_bridge_retention_pin::06,crown_bridge_retention_pin,through_fixed_right_half,lower,long_wall_5ft,1,retention,"shaft axis parallel to the build plate; split plane perpendicular to the plate; round head and circular cross-section vertical/tangent to the plate; no support-free or production claim; qualify slicer mapping, brim, cooling, flexure, and actual-parent insertion/removal",True,anti-drop/reverse-slide retention only; zero shelf-load credit,PROVISIONAL_EXPERIMENTAL_UNRATED,1362.075,lower::long_wall_5ft::crown_bridge::06,True
lower::long_wall_5ft::deck_cassette::01,deck_cassette,through_start_outer,lower,long_wall_5ft,1,structural,continuous 3.2 mm top skin on the build plate; coffer lands upward; flip for installation,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,0.0,,True
lower::long_wall_5ft::deck_cassette::02,deck_cassette,through_internal_crown_to_pier,lower,long_wall_5ft,1,structural,continuous 3.2 mm top skin on the build plate; coffer lands upward; flip for installation,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,152.575,,True
lower::long_wall_5ft::deck_cassette::03,deck_cassette,through_internal_pier_to_crown,lower,long_wall_5ft,1,structural,continuous 3.2 mm top skin on the build plate; coffer lands upward; flip for installation,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,273.5425,,True
lower::long_wall_5ft::deck_cassette::04,deck_cassette,through_internal_crown_to_pier,lower,long_wall_5ft,1,structural,continuous 3.2 mm top skin on the build plate; coffer lands upward; flip for installation,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,394.51,,True
lower::long_wall_5ft::deck_cassette::05,deck_cassette,through_internal_pier_to_crown,lower,long_wall_5ft,1,structural,continuous 3.2 mm top skin on the build plate; coffer lands upward; flip for installation,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,515.4775,,True
lower::long_wall_5ft::deck_cassette::06,deck_cassette,through_internal_crown_to_pier,lower,long_wall_5ft,1,structural,continuous 3.2 mm top skin on the build plate; coffer lands upward; flip for installation,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,636.445,,True
lower::long_wall_5ft::deck_cassette::07,deck_cassette,through_internal_pier_to_crown,lower,long_wall_5ft,1,structural,continuous 3.2 mm top skin on the build plate; coffer lands upward; flip for installation,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,757.4125,,True
lower::long_wall_5ft::deck_cassette::08,deck_cassette,through_internal_crown_to_pier,lower,long_wall_5ft,1,structural,continuous 3.2 mm top skin on the build plate; coffer lands upward; flip for installation,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,878.38,,True
lower::long_wall_5ft::deck_cassette::09,deck_cassette,through_internal_pier_to_crown,lower,long_wall_5ft,1,structural,continuous 3.2 mm top skin on the build plate; coffer lands upward; flip for installation,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,999.3475,,True
lower::long_wall_5ft::deck_cassette::10,deck_cassette,through_internal_crown_to_pier,lower,long_wall_5ft,1,structural,continuous 3.2 mm top skin on the build plate; coffer lands upward; flip for installation,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,1120.315,,True
lower::long_wall_5ft::deck_cassette::11,deck_cassette,through_internal_pier_to_crown,lower,long_wall_5ft,1,structural,continuous 3.2 mm top skin on the build plate; coffer lands upward; flip for installation,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,1241.2825,,True
lower::long_wall_5ft::deck_cassette::12,deck_cassette,through_end_outer,lower,long_wall_5ft,1,structural,continuous 3.2 mm top skin on the build plate; coffer lands upward; flip for installation,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,1362.25,,True
lower::long_wall_5ft::diaphragm_bowtie_key::seam_01_depth_1,diaphragm_bowtie_key,fixed_crown,lower,long_wall_5ft,1,structural,largest bowtie plan face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,152.4,long_wall_5ft_seam_01,True
lower::long_wall_5ft::diaphragm_bowtie_key::seam_01_depth_2,diaphragm_bowtie_key,fixed_crown,lower,long_wall_5ft,1,structural,largest bowtie plan face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,152.4,long_wall_5ft_seam_01,True
lower::long_wall_5ft::diaphragm_bowtie_key::seam_01_depth_3,diaphragm_bowtie_key,fixed_crown,lower,long_wall_5ft,1,structural,largest bowtie plan face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,152.4,long_wall_5ft_seam_01,True
lower::long_wall_5ft::diaphragm_bowtie_key::seam_02_depth_1,diaphragm_bowtie_key,floating_supported_pier,lower,long_wall_5ft,1,structural,largest bowtie plan face on the build plate,False,zero longitudinal tension-splice credit at floating pier seam,PROVISIONAL_EXPERIMENTAL_UNRATED,273.3675,long_wall_5ft_seam_02,True
lower::long_wall_5ft::diaphragm_bowtie_key::seam_02_depth_2,diaphragm_bowtie_key,floating_supported_pier,lower,long_wall_5ft,1,structural,largest bowtie plan face on the build plate,False,zero longitudinal tension-splice credit at floating pier seam,PROVISIONAL_EXPERIMENTAL_UNRATED,273.3675,long_wall_5ft_seam_02,True
lower::long_wall_5ft::diaphragm_bowtie_key::seam_02_depth_3,diaphragm_bowtie_key,floating_supported_pier,lower,long_wall_5ft,1,structural,largest bowtie plan face on the build plate,False,zero longitudinal tension-splice credit at floating pier seam,PROVISIONAL_EXPERIMENTAL_UNRATED,273.3675,long_wall_5ft_seam_02,True
lower::long_wall_5ft::diaphragm_bowtie_key::seam_03_depth_1,diaphragm_bowtie_key,fixed_crown,lower,long_wall_5ft,1,structural,largest bowtie plan face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,394.335,long_wall_5ft_seam_03,True
lower::long_wall_5ft::diaphragm_bowtie_key::seam_03_depth_2,diaphragm_bowtie_key,fixed_crown,lower,long_wall_5ft,1,structural,largest bowtie plan face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,394.335,long_wall_5ft_seam_03,True
lower::long_wall_5ft::diaphragm_bowtie_key::seam_03_depth_3,diaphragm_bowtie_key,fixed_crown,lower,long_wall_5ft,1,structural,largest bowtie plan face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,394.335,long_wall_5ft_seam_03,True
lower::long_wall_5ft::diaphragm_bowtie_key::seam_04_depth_1,diaphragm_bowtie_key,floating_supported_pier,lower,long_wall_5ft,1,structural,largest bowtie plan face on the build plate,False,zero longitudinal tension-splice credit at floating pier seam,PROVISIONAL_EXPERIMENTAL_UNRATED,515.3025,long_wall_5ft_seam_04,True
lower::long_wall_5ft::diaphragm_bowtie_key::seam_04_depth_2,diaphragm_bowtie_key,floating_supported_pier,lower,long_wall_5ft,1,structural,largest bowtie plan face on the build plate,False,zero longitudinal tension-splice credit at floating pier seam,PROVISIONAL_EXPERIMENTAL_UNRATED,515.3025,long_wall_5ft_seam_04,True
lower::long_wall_5ft::diaphragm_bowtie_key::seam_04_depth_3,diaphragm_bowtie_key,floating_supported_pier,lower,long_wall_5ft,1,structural,largest bowtie plan face on the build plate,False,zero longitudinal tension-splice credit at floating pier seam,PROVISIONAL_EXPERIMENTAL_UNRATED,515.3025,long_wall_5ft_seam_04,True
lower::long_wall_5ft::diaphragm_bowtie_key::seam_05_depth_1,diaphragm_bowtie_key,fixed_crown,lower,long_wall_5ft,1,structural,largest bowtie plan face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,636.27,long_wall_5ft_seam_05,True
